,PLAYER_ID,ALL_FGA,ALL_ALL_AVG_DISTANCE,ALL_3PT_AVG_DISTANCE,ALL_2PT_AVG_DISTANCE,MADE_FGA,MADE_ALL_AVG_DISTANCE,MADE_3PT_AVG_DISTANCE,MADE_2PT_AVG_DISTANCE,MISS_FGA,MISS_ALL_AVG_DISTANCE,MISS_3PT_AVG_DISTANCE,MISS_2PT_AVG_DISTANCE,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION
354,1641718,669,15.167414050822122,24.92753623188406,8.312977099236642,307.0,12.980456026058633,24.980392156862745,7.009756097560976,362.0,17.022099447513813,24.896551724137932,9.73404255319149,Keyonte George,1610612762,UTA
185,1629750,228,15.12280701754386,24.688,3.5145631067961167,101.0,12.405940594059405,24.288888888888888,2.857142857142857,127.0,17.283464566929133,24.9125,4.297872340425532,Javonte Green,1610612765,DET
131,1629001,166,15.108433734939759,24.695121951219512,5.75,70.0,12.457142857142857,24.615384615384617,5.2727272727272725,96.0,17.041666666666668,24.732142857142858,6.275,De'Anthony Melton,1610612744,GSW
290,1631107,225,15.106666666666667,24.838983050847457,4.373831775700935,85.0,11.764705882352942,25.176470588235293,2.823529411764706,140.0,17.135714285714286,24.702380952380953,5.785714285714286,Nikola Jović,1610612748,MIA
34,203482,68,15.102941176470589,25.02777777777778,3.9375,33.0,8.909090909090908,24.77777777777778,2.9583333333333335,35.0,20.942857142857143,25.11111111111111,6.875,Kelly Olynyk,1610612759,SAS
31,203114,237,15.037974683544304,24.906666666666666,10.469135802469136,103.0,13.766990291262136,25.125,10.316455696202532,134.0,16.01492537313433,24.80392156862745,10.614457831325302,Khris Middleton,1610612764,WAS
385,1641783,300,15.016666666666667,24.44295302013423,5.71523178807947,133.0,12.857142857142858,24.087719298245613,4.434210526315789,167.0,16.736526946107784,24.66304347826087,7.013333333333334,Tristan da Silva,1610612753,ORL
261,1630598,262,14.946564885496183,24.602836879432623,3.6942148760330578,118.0,13.059322033898304,24.70909090909091,2.888888888888889,144.0,16.493055555555557,24.53488372093023,4.568965517241379,Aaron Wiggins,1610612760,OKC
244,1630560,252,14.916666666666666,25.17391304347826,9.01875,102.0,13.588235294117647,25.1875,8.285714285714286,150.0,15.82,25.166666666666668,9.588888888888889,Cam Thomas,1610612751,BKN
202,1630188,258,14.906976744186046,24.73611111111111,2.491228070175439,119.0,11.084033613445378,24.551020408163264,1.6571428571428573,139.0,18.179856115107913,24.83157894736842,3.8181818181818183,Jalen Smith,1610612741,CHI
